Inventarisnr;Omschrijving;Straat;Thv;XCoord;YCoord;Deelgem;Mutdatum;Dooruser
FT359;Fietstrommel;STIELTJESSTR; 6e;51,91188812;4,498449802;Feijenoord;13/07/10;BEHEER-STZ
FT36;Fietstrommel;WALENBURGERWG;8;51,93062973;4,469250202;Noord;06/07/10;STREPE
FT360;Fietstrommel;STIELTJESPLN;6;51,91226959;4,499639988;Feijenoord;13/07/10;STREPE
FT361;Fietstrommel;DONKERSLOOTSTR;21;51,89398956;4,516129971;Feijenoord;13/07/10;BEHEER-STZ
FT362;Fietstrommel;L HILLEWG;229;51,89011002;4,496059895;Feijenoord;07/06/09;Conversie
FT363;Fietstrommel;RYTUIGWG;1;51,90563965;4,506259918;Feijenoord;13/07/10;BEHEER-STZ
FT364;Fietstrommel;RYTUIGWG;1;51,90563965;4,506259918;Feijenoord;07/06/09;Conversie
FT365;Fietstrommel;PRETORIALN;4;51,90182114;4,496940136;Feijenoord;13/07/10;BEHEER-STZ
FT366;Fietstrommel;W VARKENOORDSEWG;121;51,89035034;4,498040199;Feijenoord;17/11/11;OOMEBE
FT367;Fietstrommel;KATENDRECHTSELN;61;51,90044022;4,477719784;Feijenoord;13/07/10;BEHEER-STZ
FT368;Fietstrommel;ZWYNDRECHTSESTR;28;51,89345169;4,504710197;Feijenoord;07/06/09;Conversie
FT369;Fietstrommel;PUTSELN;240;51,89733124;4,49601984;Feijenoord;07/06/09;Conversie
FT37;Fietstrommel;C DE VRIESELN;30;51,91662979;4,459420204;Delfshaven;07/06/09;Conversie
FT370;Fietstrommel;GROENE HILLEDK;249;51,8906517;4,508130074;Feijenoord;13/07/10;STREPE
FT371;Fietstrommel;GROENE HILLEDK;249;51,8906517;4,508130074;Feijenoord;13/07/10;BEHEER-STZ
FT372;Fietstrommel;MAASKD;82;51,91434097;4,49462986;Feijenoord;07/06/09;Conversie
FT373;Fietstrommel;ROZEMARYNSTR;73;51,89748001;4,509270191;Feijenoord;08/07/11;OOMEBE
FT374;Fietstrommel;SLAGHEKSTR;99;51,89748001;4,509270191;Feijenoord;07/06/09;Conversie
FT375;Fietstrommel;RANDWG;79;51,89165878;4,512430191;Feijenoord;13/07/10;BEHEER-STZ
FT376;Fietstrommel;HILLEVLIET;68;51,89612961;4,505340099;Feijenoord;07/06/09;Conversie
FT377;Fietstrommel;DONKERSLOOTSTR;135;51,89149857;4,516860008;Feijenoord;13/07/10;BEHEER-STZ
FT378;Fietstrommel;BEYERLANDSELN;15;51,89891052;4,510340214;Feijenoord;13/07/10;STREPE
FT379;Fietstrommel;STREVELSWG;194;51,88946152;4,497889996;Feijenoord;13/07/10;BEHEER-STZ
FT38;Fietstrommel;R FRUINSTR;45;51,91492081;4,455920219;Delfshaven;07/06/09;Conversie
FT380;Fietstrommel;STREVELSWG;192;51,88946152;4,497970104;Feijenoord;13/07/10;STREPE
FT381;Fietstrommel;STREVELSWG;91;51,88961029;4,500360012;Feijenoord;14/07/10;BEHEER-STZ
FT382;Fietstrommel;SLEEPHELLINGSTR;12;51,91175842;4,491020203;Feijenoord;14/07/10;STREPE
FT383;Fietstrommel;MAASKD;82;51,91434097;4,49462986;Feijenoord;07/06/09;Conversie
FT384;Fietstrommel;MAASKD;155;51,91136169;4,4896698;Feijenoord;14/07/10;STREPE
FT385;Fietstrommel;MAASKD;158;51,91117859;4,489429951;Feijenoord;14/07/10;BEHEER-STZ
FT386;Fietstrommel;MAASKD;160;51,91104889;4,489280224;Feijenoord;07/06/09;Conversie
FT387;Fietstrommel;RANDWG;148;51,89067078;4,514389992;Feijenoord;14/07/10;BEHEER-STZ
FT388;Fietstrommel;PR HENDRIKLN;30;51,91093063;4,490620136;Feijenoord;14/07/10;STREPE
FT389;Fietstrommel;PR HENDRIKKD;89;51,91307831;4,494679928;Feijenoord;14/07/10;BEHEER-STZ
FT39;Fietstrommel;ZWAERDECROONSTR;20;51,91292953;4,462590218;Delfshaven;07/06/09;Conversie
FT390;Fietstrommel;PR HENDRIKKD;114;51,91172028;4,493889809;Feijenoord;14/07/10;STREPE
FT391;Fietstrommel;LANGENHORST;255;51,87485123;4,494279861;Charlois;14/07/10;BEHEER-STZ
FT392;Fietstrommel;MOERKERKESTR;55;51,89284134;4,492249966;Charlois;14/07/10;STREPE
FT393;Fietstrommel;GRUTTOSTR;55;51,88856125;4,469810009;Charlois;14/07/10;BEHEER-STZ
FT394;Fietstrommel;GEERVLIETSTR;9;51,89511871;4,489459991;Charlois;14/07/10;STREPE
FT395;Fietstrommel;WEVERSHOEKSTR;37;51,88978958;4,492599964;Charlois;14/07/10;BEHEER-STZ
FT396;Fietstrommel;BOERGOENSESTR;66;51,8925209;4,472569942;Charlois;14/07/10;STREPE
FT397;Fietstrommel;ZEGENSTR;89;51,88800812;4,467830181;Charlois;14/07/10;BEHEER-STZ
FT398;Fietstrommel;DAWESWG;20;51,96221161;4,543930054;Omoord;14/07/10;STREPE
FT399;Fietstrommel;SCHIELN;23;51,94379044;4,421969891;Overschie;14/07/10;BEHEER-STZ
FT4;Fietstrommel;ESSENBURGSNGL;16B;51,92287064;4,460539818;Delfshaven;06/07/10;STREPE
FT40;Fietstrommel;SCHIETBAANLN;128;51,91567993;4,45581007;Delfshaven;07/06/09;Conversie
